Category,Value,Year
21111 - Oil and gas extraction (except oil sands),22305.242,2019
32541 - Pharmaceutical and medicine manufacturing,21545.832,2019
33641 - Aerospace product and parts manufacturing,19300.922,2019
32411 - Petroleum refineries,18598.2,2019
33411 - Computer and peripheral equipment manufacturing,16191.013,2019
33639 - Other motor vehicle parts manufacturing,15572.479,2019
"33451 - Navigational, measuring, medical and control instruments manufacturing",10322.429,2019
33612 - Heavy-duty truck manufacturing,9656.805,2019
33422 - Radio and television broadcasting and wireless communications equipment manufacturing,9644.989,2019
33111 - Iron and steel mills and ferro-alloy manufacturing,9568.227,2019
33631 - Motor vehicle gasoline engine and engine parts manufacturing,9558.639,2019
32521 - Resin and synthetic rubber manufacturing,8621.282,2019
33531 - Electrical equipment manufacturing,8531.456,2019
21222 - Gold and silver ore mining,8286.983,2019
"33361 - Engine, turbine and power transmission equipment manufacturing",8251.948,2019
33312 - Construction machinery manufacturing,7856.151,2019
33911 - Medical equipment and supplies manufacturing,7679.951,2019
33324 - Industrial machinery manufacturing,7620.546,2019
"33341 - Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",7354.274,2019
32519 - Other basic organic chemical manufacturing,6536.595,2019
32619 - Other plastic product manufacturing,6436.802,2019
33635 - Motor vehicle transmission and power train parts manufacturing,6424.35,2019
33421 - Telephone apparatus manufacturing,6301.851,2019
"31524 - Women's, girls' and infants' cut and sew clothing manufacturing",5941.017,2019
32541 - Pharmaceutical and medicine manufacturing,22573.708,2020
33411 - Computer and peripheral equipment manufacturing,16842.468,2020
21222 - Gold and silver ore mining,14663.445,2020
33641 - Aerospace product and parts manufacturing,13598.319,2020
21111 - Oil and gas extraction (except oil sands),13500.317,2020
33639 - Other motor vehicle parts manufacturing,12113.178,2020
32411 - Petroleum refineries,11210.469,2020
33911 - Medical equipment and supplies manufacturing,9399.376,2020
"33451 - Navigational, measuring, medical and control instruments manufacturing",8900.577,2020
33422 - Radio and television broadcasting and wireless communications equipment manufacturing,8440.812,2020
33631 - Motor vehicle gasoline engine and engine parts manufacturing,8055.199,2020
33111 - Iron and steel mills and ferro-alloy manufacturing,8014.258,2020
32521 - Resin and synthetic rubber manufacturing,7737.545,2020
33531 - Electrical equipment manufacturing,7523.383,2020
33324 - Industrial machinery manufacturing,7161.424,2020
"33341 - Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",6935.541,2020
32519 - Other basic organic chemical manufacturing,6493.992,2020
33612 - Heavy-duty truck manufacturing,6490.321,2020
"33361 - Engine, turbine and power transmission equipment manufacturing",6471.617,2020
32619 - Other plastic product manufacturing,6423.312,2020
33421 - Telephone apparatus manufacturing,6082.93,2020
33312 - Construction machinery manufacturing,6061.122,2020
11133 - Non-citrus fruit and tree nut farming,5326.471,2020
32599 - All other chemical product manufacturing,5026.113,2020
33411 - Computer and peripheral equipment manufacturing,18253.692,2021
21111 - Oil and gas extraction (except oil sands),18043.701,2021
32411 - Petroleum refineries,17012.693,2021
33111 - Iron and steel mills and ferro-alloy manufacturing,14281.119,2021
33641 - Aerospace product and parts manufacturing,12977.736,2021
21222 - Gold and silver ore mining,12517.465,2021
33639 - Other motor vehicle parts manufacturing,11787.984,2021
32521 - Resin and synthetic rubber manufacturing,10942.24,2021
33911 - Medical equipment and supplies manufacturing,10100.755,2021
33422 - Radio and television broadcasting and wireless communications equipment manufacturing,9456.368,2021
"33451 - Navigational, measuring, medical and control instruments manufacturing",9426.361,2021
32519 - Other basic organic chemical manufacturing,8203.796,2021
"33341 - Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",8074.925,2021
33531 - Electrical equipment manufacturing,7977.408,2021
33312 - Construction machinery manufacturing,7886.783,2021
33324 - Industrial machinery manufacturing,7710.81,2021
"33361 - Engine, turbine and power transmission equipment manufacturing",7389.821,2021
32619 - Other plastic product manufacturing,7274.247,2021
33612 - Heavy-duty truck manufacturing,7270.674,2021
33631 - Motor vehicle gasoline engine and engine parts manufacturing,7173.037,2021
33421 - Telephone apparatus manufacturing,6715.421,2021
33131 - Alumina and aluminum production and processing,6006.725,2021
11133 - Non-citrus fruit and tree nut farming,5736.413,2021
33411 - Computer and peripheral equipment manufacturing,19279.348,2022
33641 - Aerospace product and parts manufacturing,16698.293,2022
33111 - Iron and steel mills and ferro-alloy manufacturing,16324.907,2022
33639 - Other motor vehicle parts manufacturing,13773.495,2022
21222 - Gold and silver ore mining,13339.257,2022
32521 - Resin and synthetic rubber manufacturing,12491.288,2022
32519 - Other basic organic chemical manufacturing,11809.63,2022
"33451 - Navigational, measuring, medical and control instruments manufacturing",11123.177,2022
33422 - Radio and television broadcasting and wireless communications equipment manufacturing,10618.01,2022
33312 - Construction machinery manufacturing,10376.215,2022
33531 - Electrical equipment manufacturing,9767.664,2022
"33361 - Engine, turbine and power transmission equipment manufacturing",9737.172,2022
33324 - Industrial machinery manufacturing,9728.399,2022
"33341 - Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",9703.437,2022
33612 - Heavy-duty truck manufacturing,9328.75,2022
33911 - Medical equipment and supplies manufacturing,9327.391,2022
32619 - Other plastic product manufacturing,8556.563,2022
33631 - Motor vehicle gasoline engine and engine parts manufacturing,7884.635,2022
32599 - All other chemical product manufacturing,7646.938,2022
33131 - Alumina and aluminum production and processing,7605.29,2022
33421 - Telephone apparatus manufacturing,7585.304,2022
32411 - Petroleum refineries,23513.057,2023
21111 - Oil and gas extraction (except oil sands),22745.558,2023
33641 - Aerospace product and parts manufacturing,19856.187,2023
33411 - Computer and peripheral equipment manufacturing,18256.456,2023
33639 - Other motor vehicle parts manufacturing,16779.423,2023
21222 - Gold and silver ore mining,15344.562,2023
33111 - Iron and steel mills and ferro-alloy manufacturing,14335.246,2023
"33451 - Navigational, measuring, medical and control instruments manufacturing",12144.413,2023
33312 - Construction machinery manufacturing,12118.155,2023
32519 - Other basic organic chemical manufacturing,11967.31,2023
33612 - Heavy-duty truck manufacturing,11734.097,2023
33422 - Radio and television broadcasting and wireless communications equipment manufacturing,11051.032,2023
33531 - Electrical equipment manufacturing,10846.322,2023
33631 - Motor vehicle gasoline engine and engine parts manufacturing,10731.393,2023
33324 - Industrial machinery manufacturing,10689.353,2023
"33361 - Engine, turbine and power transmission equipment manufacturing",10371.234,2023
32521 - Resin and synthetic rubber manufacturing,10205.143,2023
"33341 - Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",9955.676,2023
33911 - Medical equipment and supplies manufacturing,9811.051,2023
33311 - Agricultural implement manufacturing,8380.848,2023
32619 - Other plastic product manufacturing,8142.641,2023
32599 - All other chemical product manufacturing,7781.118,2023
33421 - Telephone apparatus manufacturing,7562.236,2023
