"Title","Canadian imports"
"Industries","Listing of top 25 industries (5-digit naics codes)"
"Origin","All countries (total)"
"Destination","Canada"
"Period","Specific year(s): 2023"
"Units","Value in millions of canadian dollars"

"","2023"
"33611 - Automobile and light-duty motor vehicle manufacturing","70384.248"
"32541 - Pharmaceutical and medicine manufacturing","28162.415"
"32411 - Petroleum refineries","23513.057"
"21111 - Oil and gas extraction (except oil sands)","22745.558"
"33641 - Aerospace product and parts manufacturing","19856.187"
"33411 - Computer and peripheral equipment manufacturing","18256.456"
"33639 - Other motor vehicle parts manufacturing","16779.423"
"21222 - Gold and silver ore mining","15344.562"
"33111 - Iron and steel mills and ferro-alloy manufacturing","14335.246"
"33451 - Navigational, measuring, medical and control instruments manufacturing","12144.413"
"33312 - Construction machinery manufacturing","12118.155"
"32519 - Other basic organic chemical manufacturing","11967.31"
"33612 - Heavy-duty truck manufacturing","11734.097"
"33422 - Radio and television broadcasting and wireless communications equipment manufacturing","11051.032"
"33531 - Electrical equipment manufacturing","10846.322"
"33631 - Motor vehicle gasoline engine and engine parts manufacturing","10731.393"
"33324 - Industrial machinery manufacturing","10689.353"
"33361 - Engine, turbine and power transmission equipment manufacturing","10371.234"
"32521 - Resin and synthetic rubber manufacturing","10205.143"
"33341 - Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","9955.676"
"33911 - Medical equipment and supplies manufacturing","9811.051"
"33311 - Agricultural implement manufacturing","8380.848"
"32619 - Other plastic product manufacturing","8142.641"
"32599 - All other chemical product manufacturing","7781.118"
"33421 - Telephone apparatus manufacturing","7562.236"
"Sub-total","392869.173"
"Others","361724.972"
"Total (All Industries)","754594.144"

"Source: Trade Data Online (accessed: May 11, 2024)"



